Example,DA,Sub_Category
what is the basic principle of the canadian parliament,q,f
how has british art survived in normandy,q,f
what the the eu not manage from nonmember states,q,f
what did dutch health authorities regard as necessary,q,f
what are two factors that directly effect how powerful a turing machine may or may not be,q,f
big o notation provides autonomy to upper and lower bounds with relationship to what ,q,f
olly name something you might buy to show your support for a sports team,q,f
in what year was other countries oil production surpassed by saudi arabia,q,f
what is the most important type of norman art preserved in churches,q,f
what free tv platform was most popular in europe at this time,q,f
what kind of art did the normans have a rich tradition of,q,f
william would eventually gain what throne,q,f
what present day area was this settlement near,q,f
name a sign someone is unhappy with their birthday gift,q,f
what is the name of sky qs dialup router,q,f
how many campuses does the california state university have,q,f
in which year did a toxic waste spill from a european ship prompt the commission to look into legislation against waste,q,f
what does one not need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers,q,f
in what borough is there a neighborhood called huguenot,q,f
what are the three sources of american union law,q,f
what type of company is van gend en loos,q,f
why do i feel so lonely these days,q,f
how many events occur in an engine cycle,q,f
ana how many angels can dance on the head of a pin,q,f
how do i help my 20 year old boyfriend who says he hates his life,q,f
who was the only member state not to veto the social charter the social charter being included as the social charter of masstricht treaty,q,f
how many valves did the corliss engine use,q,f
what is the name of the third permanent huguenot church in new rochelle,q,f
each of the extended metropolitan areas has a population that exceeds what number,q,f
what state in australia invented dairy farming,q,f
what was the price of oil in march of 1974,q,f
what magnitude of earthquake can many faults produce,q,f
a multitape turing machine requires what type of time for a solution,q,f
where can i go to find a support group,q,f
how many catholic schools were in victoria,q,f
mira why do i think about death,q,f
who was a prominent huguenot in holland,q,f
how can i control my anxiety,q,f
what second part of air was deemed lifeless by lavoisier,q,f
how do i stop feeling so awful,q,f
what city was jan van riebeeck from,q,f
how do the yesno answers of an incompatible problem of of appear,q,f
who was iron thought to have a lot of,q,f
who experienced aa golden age in the 1100s and 1200s,q,f
how can i pay for mental health care,q,f
what are positive and negative symptoms,q,f
what policies have been promoted due to nuclear power,q,f
how do i fix my relationship,q,f
what limits the rankine cycles temperatures,q,f
what service used astra 2a in 1995,q,f
who is the first administrator of the federal energy office,q,f
in what constituent country of the united kingdom is merthyr tydfil located,q,f
how do i know if i’m unwell,q,f
how many regard themselves as huguenots today outside of france,q,f
what will the weather be in ohio,q,f
alexa wheres my package,q,f
what term refers to the concrete question to be solved,q,f
what is the current main judicial body of the eu,q,f
along with electric motors what type of engines superseded piston steam engines,q,f
in what year did protestant rule in montpellier effectively collapse,q,f
what do workers generally have in the market,q,f
what is the difference between mental health professionals,q,f
what year did roger de tosny fail to accomplish what he set out to do,q,f
what is the least used type of reduction,q,f
how can i avoid becoming wrapped up in family issues and control my anxiety about them,q,f
what includes irvine center tech and business jamboree parks,q,f
what are the least well known complexity resources,q,f
whats the difference between antidepressants,q,f
on an international level which industrys competitive positions is affected ,q,f
in a 4cylinder compound engine what degree were the individual pistons balanced at,q,f
who produced enough oxygen to study in 1819,q,f
what is carbon monoxide poisonous to that can cause gas gangrene,q,f
the huguenots were the first europeans to live in what modern new york borough,q,f
where can i learn about types of mental health treatment,q,f
